video_id,frame_idx,t,track_id,class,conf_det,u,v,w,h
Coldwater_MI_2025-Sep-20_12-10-20_PM,5,0.166667,1096559,car,0.4018,0.0,728.3,367.0,171.8
Coldwater_MI_2025-Sep-20_12-10-20_PM,5,0.166667,1097753,truck,0.4513,3.9,730.5,339.0,167.3
Coldwater_MI_2025-Sep-20_12-10-20_PM,5,0.166667,1097794,car,0.3752,682.8,307.1,56.4,47.7
Coldwater_MI_2025-Sep-20_12-10-20_PM,5,0.166667,1097885,car,0.7567,922.8,688.4,170.5,85.5
Coldwater_MI_2025-Sep-20_12-10-20_PM,5,0.166667,1097886,car,0.7920,1447.9,550.5,147.4,60.2
Coldwater_MI_2025-Sep-20_12-10-20_PM,5,0.166667,1097887,person,0.7398,534.7,928.2,39.4,94.5
Coldwater_MI_2025-Sep-20_12-10-20_PM,5,0.166667,1097888,car,0.7489,1645.8,536.7,143.6,59.7
Coldwater_MI_2025-Sep-20_12-10-20_PM,5,0.166667,1097889,car,0.5296,466.7,349.9,51.7,45.5
Coldwater_MI_2025-Sep-20_12-10-20_PM,5,0.166667,1097890,car,0.5119,644.9,501.9,56.1,48.0
Coldwater_MI_2025-Sep-20_12-10-20_PM,5,0.166667,1097891,car,0.4328,1463.5,879.6,321.6,183.3
Coldwater_MI_2025-Sep-20_12-10-20_PM,5,0.166667,1097892,car,0.5209,550.5,296.8,72.4,54.0
Coldwater_MI_2025-Sep-20_12-10-20_PM,5,0.166667,1097804,person,0.5213,1785.1,625.0,36.4,94.7
Coldwater_MI_2025-Sep-20_12-10-20_PM,5,0.166667,1097039,person,0.3667,1742.0,618.8,44.2,107.1
Coldwater_MI_2025-Sep-20_12-10-20_PM,5,0.166667,1097896,person,0.3554,1705.4,614.2,41.4,64.5
Coldwater_MI_2025-Sep-20_12-10-20_PM,5,0.166667,1097902,traffic light,0.3406,855.8,554.6,30.2,68.1
Coldwater_MI_2025-Sep-20_12-10-20_PM,6,0.200000,1096423,car,0.5510,729.2,336.5,49.4,39.5
Coldwater_MI_2025-Sep-20_12-10-20_PM,6,0.200000,1097053,car,0.5606,24.3,673.2,226.0,89.5
Coldwater_MI_2025-Sep-20_12-10-20_PM,6,0.200000,1096559,car,0.4188,0.0,726.4,366.9,173.9
Coldwater_MI_2025-Sep-20_12-10-20_PM,6,0.200000,1097753,truck,0.4411,3.9,730.4,339.1,167.3
Coldwater_MI_2025-Sep-20_12-10-20_PM,6,0.200000,1097794,car,0.3325,683.3,306.9,56.6,47.8
Coldwater_MI_2025-Sep-20_12-10-20_PM,6,0.200000,1097885,car,0.6147,918.7,687.7,164.9,82.3
Coldwater_MI_2025-Sep-20_12-10-20_PM,6,0.200000,1097886,car,0.7938,1447.7,550.5,147.4,60.2
Coldwater_MI_2025-Sep-20_12-10-20_PM,6,0.200000,1097887,person,0.7681,535.3,926.7,37.8,91.1
Coldwater_MI_2025-Sep-20_12-10-20_PM,6,0.200000,1097888,car,0.7837,1645.3,536.6,144.1,59.8
Coldwater_MI_2025-Sep-20_12-10-20_PM,6,0.200000,1097889,car,0.4687,465.7,349.0,53.7,47.5
Coldwater_MI_2025-Sep-20_12-10-20_PM,6,0.200000,1097890,car,0.4788,643.4,500.0,58.6,50.1
Coldwater_MI_2025-Sep-20_12-10-20_PM,6,0.200000,1097891,car,0.3737,1458.6,873.1,315.4,180.6
Coldwater_MI_2025-Sep-20_12-10-20_PM,6,0.200000,1097892,car,0.5155,556.1,306.8,58.6,43.6
Coldwater_MI_2025-Sep-20_12-10-20_PM,6,0.200000,1097804,person,0.4755,1785.8,625.1,36.3,93.9
Coldwater_MI_2025-Sep-20_12-10-20_PM,6,0.200000,1097039,person,0.3468,1741.8,618.9,44.6,107.3
Coldwater_MI_2025-Sep-20_12-10-20_PM,6,0.200000,1097896,person,0.3427,1704.1,613.0,43.8,68.1
Coldwater_MI_2025-Sep-20_12-10-20_PM,6,0.200000,1097902,traffic light,0.3359,855.7,554.7,30.1,68.0
Coldwater_MI_2025-Sep-20_12-10-20_PM,7,0.233333,1096423,car,0.5656,729.0,336.5,49.6,39.6
Coldwater_MI_2025-Sep-20_12-10-20_PM,7,0.233333,1097053,car,0.5621,23.9,673.1,225.7,89.6
Coldwater_MI_2025-Sep-20_12-10-20_PM,7,0.233333,1096559,car,0.4269,0.0,739.2,350.6,159.7
Coldwater_MI_2025-Sep-20_12-10-20_PM,7,0.233333,1097753,truck,0.4348,3.8,730.4,339.2,167.4
Coldwater_MI_2025-Sep-20_12-10-20_PM,7,0.233333,1097794,car,0.3299,683.5,307.1,56.3,47.5
Coldwater_MI_2025-Sep-20_12-10-20_PM,7,0.233333,1097885,car,0.7593,914.4,687.4,163.3,81.2
Coldwater_MI_2025-Sep-20_12-10-20_PM,7,0.233333,1097886,car,0.7952,1447.7,550.5,147.4,60.2
Coldwater_MI_2025-Sep-20_12-10-20_PM,7,0.233333,1097887,person,0.7545,535.6,926.2,37.2,90.2
Coldwater_MI_2025-Sep-20_12-10-20_PM,7,0.233333,1097888,car,0.7771,1645.5,536.8,143.8,59.5
Coldwater_MI_2025-Sep-20_12-10-20_PM,7,0.233333,1097889,car,0.4748,468.7,352.0,51.5,45.5
Coldwater_MI_2025-Sep-20_12-10-20_PM,7,0.233333,1097890,car,0.5185,641.6,498.7,61.2,52.3
Coldwater_MI_2025-Sep-20_12-10-20_PM,7,0.233333,1097891,car,0.4051,1463.0,872.6,301.5,173.3
Coldwater_MI_2025-Sep-20_12-10-20_PM,7,0.233333,1097892,car,0.5027,556.7,307.7,56.6,42.2
Coldwater_MI_2025-Sep-20_12-10-20_PM,7,0.233333,1097804,person,0.4589,1786.9,625.9,34.9,89.8
Coldwater_MI_2025-Sep-20_12-10-20_PM,7,0.233333,1097039,person,0.3099,1741.7,619.7,44.4,106.5
Coldwater_MI_2025-Sep-20_12-10-20_PM,7,0.233333,1097896,person,0.2567,1703.5,612.8,44.4,69.3
Coldwater_MI_2025-Sep-20_12-10-20_PM,7,0.233333,1097902,traffic light,0.3050,855.8,554.6,30.2,68.2
Coldwater_MI_2025-Sep-20_12-10-20_PM,8,0.266667,1096423,car,0.6088,728.2,334.8,51.1,40.9
Coldwater_MI_2025-Sep-20_12-10-20_PM,8,0.266667,1097053,car,0.5600,24.9,673.1,224.1,89.1
Coldwater_MI_2025-Sep-20_12-10-20_PM,8,0.266667,1096559,car,0.4281,2.5,745.7,340.4,152.8
Coldwater_MI_2025-Sep-20_12-10-20_PM,8,0.266667,1097753,truck,0.4320,5.2,732.1,336.3,165.7
Coldwater_MI_2025-Sep-20_12-10-20_PM,8,0.266667,1097794,car,0.3855,683.2,307.1,56.1,47.2
Coldwater_MI_2025-Sep-20_12-10-20_PM,8,0.266667,1097885,car,0.6852,910.3,686.8,160.3,79.0
Coldwater_MI_2025-Sep-20_12-10-20_PM,8,0.266667,1097886,car,0.7893,1447.8,550.6,147.3,60.2
Coldwater_MI_2025-Sep-20_12-10-20_PM,8,0.266667,1097887,person,0.7565,536.0,924.8,36.9,90.1
Coldwater_MI_2025-Sep-20_12-10-20_PM,8,0.266667,1097888,car,0.7648,1645.6,536.8,144.0,59.4
Coldwater_MI_2025-Sep-20_12-10-20_PM,8,0.266667,1097889,car,0.3368,468.3,352.9,53.7,47.7
Coldwater_MI_2025-Sep-20_12-10-20_PM,8,0.266667,1097890,car,0.4782,641.2,498.7,62.7,53.8
Coldwater_MI_2025-Sep-20_12-10-20_PM,8,0.266667,1097891,car,0.5947,1484.1,891.5,260.9,149.2
Coldwater_MI_2025-Sep-20_12-10-20_PM,8,0.266667,1097892,car,0.5201,555.7,306.2,57.0,42.7
Coldwater_MI_2025-Sep-20_12-10-20_PM,8,0.266667,1097804,person,0.4440,1787.0,626.9,34.3,87.5
Coldwater_MI_2025-Sep-20_12-10-20_PM,8,0.266667,1097039,person,0.3140,1741.8,619.3,44.4,106.2
Coldwater_MI_2025-Sep-20_12-10-20_PM,8,0.266667,1097896,person,0.2857,1703.1,613.0,44.9,70.3
Coldwater_MI_2025-Sep-20_12-10-20_PM,8,0.266667,1097911,car,0.3660,1455.8,863.5,196.9,87.0
Coldwater_MI_2025-Sep-20_12-10-20_PM,9,0.300000,1096423,car,0.6366,727.7,334.0,51.7,41.4
Coldwater_MI_2025-Sep-20_12-10-20_PM,9,0.300000,1097053,car,0.5663,25.5,673.4,223.1,88.8
Coldwater_MI_2025-Sep-20_12-10-20_PM,9,0.300000,1096559,car,0.4285,4.2,747.3,336.8,151.0
Coldwater_MI_2025-Sep-20_12-10-20_PM,9,0.300000,1097753,truck,0.4440,4.8,731.9,337.1,166.0
Coldwater_MI_2025-Sep-20_12-10-20_PM,9,0.300000,1097794,car,0.4161,683.1,307.0,56.2,47.2
Coldwater_MI_2025-Sep-20_12-10-20_PM,9,0.300000,1097885,car,0.6058,902.4,684.3,162.6,80.1
Coldwater_MI_2025-Sep-20_12-10-20_PM,9,0.300000,1097886,car,0.7897,1447.9,550.6,147.3,60.2
Coldwater_MI_2025-Sep-20_12-10-20_PM,9,0.300000,1097887,person,0.7517,536.3,924.1,36.8,90.2
Coldwater_MI_2025-Sep-20_12-10-20_PM,9,0.300000,1097888,car,0.7639,1645.5,536.8,144.5,59.4
Coldwater_MI_2025-Sep-20_12-10-20_PM,9,0.300000,1097889,car,0.4657,470.6,353.3,53.0,46.8
Coldwater_MI_2025-Sep-20_12-10-20_PM,9,0.300000,1097890,car,0.4571,640.9,498.2,64.3,55.5
Coldwater_MI_2025-Sep-20_12-10-20_PM,9,0.300000,1097891,car,0.3959,1456.5,869.7,292.1,167.9
Coldwater_MI_2025-Sep-20_12-10-20_PM,9,0.300000,1097892,car,0.5300,553.6,305.2,57.5,43.2
